Tag	g__Abiotrophia	g__Acinetobacter	g__Stenotrophomonas	g__Pseudomonas	g__Serratia	g__Ralstonia	g__Streptococcus	g__Klebsiella	g__Sphingomonas	g__Granulicatella	g__Prevotella	g__Veillonella	g__Bradyrhizobium	g__Cutibacterium	g__Sediminibacterium	g__Neisseria	g__Aquabacterium	g__Haemophilus_D	g__Porphyromonas	g__Corynebacterium	g__Bacteroides	g__Vibrio	g__Caulobacter	g__Alloprevotella	g__Phocaeicola	g__Pauljensenia	g__Haemophilus	g__Stutzerimonas	g__Anaeroglobus	g__Faecalibacterium	g__Enterobacter	g__Shewanella	g__Deinococcus	g__Rothia	g__Staphylococcus	g__Escherichia	g__Alistipes	g__Lancefieldella	g__Fusobacterium	g__Capnocytophaga	g__Tropheryma	g__Megamonas	g__Actinomyces	g__Leptotrichia	g__Streptomyces	g__Roseburia	g__Campylobacter_A	g__Moraxella_A	g__Megasphaera	g__Agathobacter	g__Duncaniella	g__Microbacterium	g__Parabacteroides	g__Nanosynbacter	g__Mogibacterium	g__Candidatus_Minimicrobia	g__Spiroplasma	g__Acetatifactor	g__Lachnoanaerobaculum	g__Dialister	g__Leptotrichia_A	g__F0422	g__Ruminococcus_E	g__Blautia	g__Bulleidia	g__JABCPH02	g__Centipeda	g__Haemophilus_A	g__Oribacterium	g__Pseudomonas_E	g__Phascolarctobacterium	g__Tannerella	g__Gemella	g__Treponema	g__Hominicoprocola	g__Yersinia	g__Peptostreptococcus	g__Blautia_A	g__Salmonella	g__Bifidobacterium	g__Akkermansia	g__Gemmiger	g__Citrobacter	g__Limnospira	g__Muribaculum	g__Kingella_A	g__Fusicatenibacter	g__Bariatricus	g__Taurinivorans	g__Dysosmobacter	g__Nanosyncoccus	g__Mediterraneibacter	g__Wujia	g__Collinsella	g__Anaerostipes	g__Anthropogastromicrobium	g__Dorea_A	g__Moraxella	g__Flavonifractor	g__Agathobaculum	g__Anaerotignum	g__Gallintestinimicrobium	g__Acidovorax	g__Lachnospira	g__Hominimerdicola	g__Thermoactinomyces
HD0021459-B43	0	0.584007187	0	0.166643	0	0.249349814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0021460-B44	0	0.164894635	0	0	0	0.662284964	0	0	0	0	0	0.172820401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0021461-B45	0	0.261232668	0	0.105151745	0	0.454716537	0	0	0.100329349	0	0.078569701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0021462-B46	0	0.633908969	0	0.248115838	0	0	0	0	0.117975193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0021463-B47	0	0.183256745	0	0	0	0.213969719	0	0	0	0	0.216266788	0.206100046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02250298	0.0450485	0	0	0	0	0	0	0.075463694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.037391527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0021464-B48	0	0	0.99284463	0.00715537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0021465-B49	0	0.786648701	0	0.111234859	0	0.02466132	0	0.032536316	0	0	0	0	0	0.028262062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016656741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0021466-B50	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0021467-B51	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0021468-B52	0	0.736825885	0	0	0	0.263174115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
