Tag	g__Abiotrophia	g__Acinetobacter	g__Stenotrophomonas	g__Pseudomonas	g__Serratia	g__Ralstonia	g__Streptococcus	g__Klebsiella	g__Sphingomonas	g__Granulicatella	g__Prevotella	g__Veillonella	g__Bradyrhizobium	g__Cutibacterium	g__Sediminibacterium	g__Neisseria	g__Aquabacterium	g__Haemophilus_D	g__Porphyromonas	g__Corynebacterium	g__Bacteroides	g__Vibrio	g__Caulobacter	g__Alloprevotella	g__Phocaeicola	g__Pauljensenia	g__Haemophilus	g__Stutzerimonas	g__Anaeroglobus	g__Faecalibacterium	g__Enterobacter	g__Shewanella	g__Deinococcus	g__Rothia	g__Staphylococcus	g__Escherichia	g__Alistipes	g__Lancefieldella	g__Fusobacterium	g__Capnocytophaga	g__Tropheryma	g__Megamonas	g__Actinomyces	g__Leptotrichia	g__Streptomyces	g__Roseburia	g__Campylobacter_A	g__Moraxella_A	g__Megasphaera	g__Agathobacter	g__Duncaniella	g__Microbacterium	g__Parabacteroides	g__Nanosynbacter	g__Mogibacterium	g__Candidatus_Minimicrobia	g__Spiroplasma	g__Acetatifactor	g__Lachnoanaerobaculum	g__Dialister	g__Leptotrichia_A	g__F0422	g__Ruminococcus_E	g__Blautia	g__Bulleidia	g__JABCPH02	g__Centipeda	g__Haemophilus_A	g__Oribacterium	g__Pseudomonas_E	g__Phascolarctobacterium	g__Tannerella	g__Gemella	g__Treponema	g__Hominicoprocola	g__Yersinia	g__Peptostreptococcus	g__Blautia_A	g__Salmonella	g__Bifidobacterium	g__Akkermansia	g__Gemmiger	g__Citrobacter	g__Limnospira	g__Muribaculum	g__Kingella_A	g__Fusicatenibacter	g__Bariatricus	g__Taurinivorans	g__Dysosmobacter	g__Nanosyncoccus	g__Mediterraneibacter	g__Wujia	g__Collinsella	g__Anaerostipes	g__Anthropogastromicrobium	g__Dorea_A	g__Moraxella	g__Flavonifractor	g__Agathobaculum	g__Anaerotignum	g__Gallintestinimicrobium	g__Acidovorax	g__Lachnospira	g__Hominimerdicola	g__Thermoactinomyces
HD0027615-B68	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0027616-B69	0	0	0	0	0	0	0.389906612	0	0.034662344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.501167336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.045617841	0	0	0.028645866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0027617-B70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0027618-B71	0	0	0	0	0	0	0	0	0.050220421	0	0.39111725	0.103882152	0	0.051833535	0.164533826	0	0	0	0	0	0	0	0	0	0	0	0	0	0.063017574	0	0	0	0	0	0	0	0	0	0.042047527	0	0	0.029250482	0.042907855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.061189379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0027619-B72	0	0	0	0	0	0	0	0	0.607502791	0	0	0	0	0	0	0	0	0	0	0	0	0	0.392497209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0027620-B73	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0027621-B74	0	0	0	0	0	0	0.050973353	0	0.105191577	0.028417424	0.096347061	0.038570241	0.021299989	0.010833159	0.091479987	0	0	0	0	0	0	0	0.038570186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025382087	0	0.352731859	0	0	0	0	0	0	0.037261874	0	0	0	0.009367808	0	0.019939304	0	0	0	0	0.010676153	0	0.009524803	0	0	0.009001467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.020829025	0	0	0	0	0	0	0.013292833	0	0	0	0	0.010309812	0	0	0
HD0027622-B75	0	0	0	0.999787865	0	0	0	0	0	0	0	0	0	0	0.000131283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.08512E-05
HD0027623-B76	0	0	0	0	0	0	0	0	0.285271312	0	0.362015348	0	0	0.35271334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0027624-B77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0027625-B78	0	0	0	0	0	0	0	0	0.198063133	0	0.363636374	0	0	0	0	0	0	0.129022169	0.18900343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.120274894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0027626-B79	0	0	0	0	0	0	0	0	0	0	0	0	0.641214681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.358785319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HD0027627-B80	0	0	0	0	0	0	0	0	0.493986955	0	0	0	0	0	0.506013045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

