num_features	accuracy	f1_score	auc
1	0.7428571428571429	0.7479942920564452	0.8287037037037037
2	0.8857142857142857	0.879591836734694	0.8842592592592592
3	0.9428571428571428	0.9397959183673468	0.8819444444444445
4	0.9142857142857143	0.9066512434933487	0.875
5	0.8571428571428571	0.8307285934404578	0.875
6	0.9142857142857143	0.9066512434933487	0.900462962962963
7	0.9428571428571428	0.9428571428571428	0.9097222222222222
8	0.9714285714285714	0.9707359307359308	0.9097222222222222
9	0.9714285714285714	0.9707359307359308	0.9074074074074074
10	0.9714285714285714	0.9707359307359308	0.9050925925925926
11	0.9714285714285714	0.9707359307359308	0.9050925925925926
12	0.9428571428571428	0.9428571428571428	0.9768518518518519
13	0.9428571428571428	0.9428571428571428	0.9814814814814815
14	0.9428571428571428	0.9428571428571428	0.9768518518518519
15	0.9428571428571428	0.9428571428571428	0.9722222222222222
16	0.9428571428571428	0.9428571428571428	0.9722222222222222
17	0.9428571428571428	0.9428571428571428	0.9722222222222222
18	0.9428571428571428	0.9428571428571428	0.9814814814814815
19	0.9714285714285714	0.9707359307359308	0.9675925925925926
20	0.9714285714285714	0.9707359307359308	0.9583333333333334
21	0.9428571428571428	0.9428571428571428	0.962962962962963
22	0.9714285714285714	0.9707359307359308	0.9722222222222222
23	0.9714285714285714	0.9707359307359308	0.9583333333333334
24	0.9714285714285714	0.9707359307359308	0.9583333333333334
25	0.9714285714285714	0.9707359307359308	0.9675925925925927
26	0.9714285714285714	0.9707359307359308	0.9675925925925927
27	0.9714285714285714	0.9707359307359308	0.9675925925925927
28	0.9714285714285714	0.9707359307359308	0.9675925925925927
29	0.9714285714285714	0.9707359307359308	0.9675925925925927
30	0.9714285714285714	0.9707359307359308	0.9675925925925926
31	0.9714285714285714	0.9707359307359308	0.9675925925925927
32	0.9714285714285714	0.9707359307359308	0.9675925925925926
33	0.9714285714285714	0.9707359307359308	0.9675925925925926
34	0.9714285714285714	0.9707359307359308	0.9675925925925926
35	0.9714285714285714	0.9707359307359308	0.9675925925925927
36	0.9714285714285714	0.9707359307359308	0.9722222222222222
37	0.9714285714285714	0.9707359307359308	0.9675925925925927
38	0.9714285714285714	0.9707359307359308	0.9675925925925927
39	0.9714285714285714	0.9707359307359308	0.9675925925925927
40	0.9714285714285714	0.9707359307359308	0.9675925925925926
41	0.9714285714285714	0.9707359307359308	0.9675925925925926
42	0.9714285714285714	0.9707359307359308	0.962962962962963
43	0.9714285714285714	0.9707359307359308	0.9675925925925926
44	0.9714285714285714	0.9707359307359308	0.9675925925925927
45	0.9714285714285714	0.9707359307359308	0.9675925925925927
46	0.9714285714285714	0.9707359307359308	0.9675925925925927
47	0.9714285714285714	0.9707359307359308	0.9675925925925927
48	0.9714285714285714	0.9707359307359308	0.9675925925925927
49	0.9714285714285714	0.9707359307359308	0.9675925925925927
50	0.9714285714285714	0.9707359307359308	0.9675925925925926
