num_features	accuracy	f1_score	auc
1	0.7142857142857143	0.7142857142857143	0.7175925925925926
2	0.8285714285714286	0.8285714285714286	0.8796296296296297
3	0.8857142857142857	0.879591836734694	0.8773148148148149
4	0.8571428571428571	0.8444187391555813	0.8865740740740741
5	0.8571428571428571	0.8444187391555813	0.8865740740740741
6	0.8571428571428571	0.8444187391555813	0.8773148148148148
7	0.9428571428571428	0.9397959183673468	0.9583333333333334
8	0.9714285714285714	0.9707359307359308	0.9583333333333334
9	0.9714285714285714	0.9707359307359308	0.9583333333333333
10	0.9714285714285714	0.9707359307359308	0.9351851851851852
11	0.9714285714285714	0.9707359307359308	0.9328703703703703
12	0.9714285714285714	0.9707359307359308	0.9259259259259259
13	0.9714285714285714	0.9707359307359308	0.9212962962962963
14	0.9714285714285714	0.9707359307359308	0.9212962962962963
15	0.9428571428571428	0.9428571428571428	0.9212962962962963
16	0.9714285714285714	0.9707359307359308	0.9259259259259259
17	0.9714285714285714	0.9707359307359308	0.9259259259259259
18	0.9714285714285714	0.9707359307359308	0.912037037037037
19	0.9714285714285714	0.9707359307359308	0.9259259259259259
20	0.9714285714285714	0.9707359307359308	0.9143518518518517
21	0.9714285714285714	0.9707359307359308	0.9490740740740741
22	0.9714285714285714	0.9707359307359308	0.9467592592592592
23	0.9714285714285714	0.9707359307359308	0.9398148148148149
24	0.9714285714285714	0.9707359307359308	0.9305555555555556
25	0.9714285714285714	0.9707359307359308	0.9259259259259259
26	0.9714285714285714	0.9707359307359308	0.9398148148148149
27	0.9714285714285714	0.9707359307359308	0.9490740740740741
28	0.9714285714285714	0.9707359307359308	0.9305555555555556
29	0.9714285714285714	0.9707359307359308	0.9537037037037037
30	0.9714285714285714	0.9707359307359308	0.9351851851851851
31	0.9714285714285714	0.9707359307359308	0.9467592592592592
32	0.9714285714285714	0.9707359307359308	0.9398148148148149
33	0.9714285714285714	0.9707359307359308	0.9444444444444444
34	0.9714285714285714	0.9707359307359308	0.9490740740740741
35	0.9714285714285714	0.9707359307359308	0.9490740740740741
36	0.9714285714285714	0.9707359307359308	0.9351851851851851
